seed,cognitive_id,birth_window,host_lost_window,reaped_window,final_state,ghost_duration,original_phase_sig,last_n_partners,last_familiarity_max,last_attention_size,last_tag_window,prev_social,prev_stability,prev_spread,prev_familiarity,current_social,current_stability,current_spread,current_familiarity,delta_social,delta_stability,delta_spread,delta_familiarity,generated_tags,state_at_window,ttl_bonus,n_pickups_won,n_pickups_lost,effective_ttl,v99_formation_status,v99_trace_len,v99_range_social_min,v99_range_social_max,v99_range_social_mean,v99_range_social_std,v99_range_stability_min,v99_range_stability_max,v99_range_stability_mean,v99_range_stability_std,v99_range_spread_min,v99_range_spread_max,v99_range_spread_mean,v99_range_spread_std,v99_range_familiarity_min,v99_range_familiarity_max,v99_range_familiarity_mean,v99_range_familiarity_std,v99_drift_social_positive,v99_drift_social_negative,v99_drift_social_neutral,v99_drift_stability_positive,v99_drift_stability_negative,v99_drift_stability_neutral,v99_drift_spread_positive,v99_drift_spread_negative,v99_drift_spread_neutral,v99_drift_familiarity_positive,v99_drift_familiarity_negative,v99_drift_familiarity_neutral,v99_lowest_std_axis,v99_dominant_positive_drift_axis,v99_dominant_negative_drift_axis,v10_pulse_count,v10_tag_trigger_last,v10_n_normal,v10_n_major,v10_theta_social_last,v10_theta_stability_last,v10_theta_spread_last,v10_theta_familiarity_last,v10_R_social_last,v10_R_stability_last,v10_R_spread_last,v10_R_familiarity_last,v10_R_max_social,v10_R_max_stability,v10_R_max_spread,v10_R_max_familiarity,v10_R_min_social,v10_R_min_stability,v10_R_min_spread,v10_R_min_familiarity,v11_b_gen,v11_m_c_n_core,v11_m_c_s_avg,v11_m_c_r_core,v11_m_c_phase_sig,v11_n_pulses_eval,v11_n_captured,v11_capture_rate,v11_mean_delta,v11_mean_d_n,v11_mean_d_s,v11_mean_d_r,v11_mean_d_phase
0,0,0,,,hosted,0,-0.6141,35,316.2444,1855,39,0.725,0.6888,0.8589,10.7399,0.7955,0.6181,0.8513,22.1338,0.0705,-0.0707,-0.0076,11.394,gain_familiarity,hosted,4,4,4,14,formed,5,0.725,0.868421052631579,0.8059802478223531,0.049607984806448555,0.6180539468029845,0.6887746544484266,0.6558538174407194,0.02569283487300553,0.8418274473381413,0.8588583354447312,0.8527809923795964,0.0061626463392727105,6.6038090580524775,22.133829922706745,12.530957683049062,5.1450398057713365,0,2,3,0,0,5,0,0,5,2,1,2,spread,familiarity,social,200,MAD_DT_Normal,163,69,0.021481,0.080454,0.005813,1.113123,-1.082573,-0.131786,-0.128524,0.017169,3.359872,4.987959,1.134077,4.497987,-3.927408,-4.910555,-3.348421,-1.247125,33.104708,5,0.339566,0.804072,-0.614067,197,58,0.294416,0.474655,0.519596,0.311579,0.58552,0.481926
0,2,0,,,hosted,0,0.7683,33,42.9911,1504,39,0.8,0.6362,0.8582,11.5818,0.75,0.5715,0.8335,12.4882,-0.05,-0.0646,-0.0248,0.9064,,hosted,3,3,5,13,formed,5,0.75,0.8947368421052632,0.8171524966261808,0.04657376978580157,0.5715229151405342,0.6610291019269383,0.6250830432376372,0.03278606714511525,0.8334835149275253,0.8586116496987741,0.8481629622899813,0.011533723025725652,7.9304865160369165,12.488219997965293,10.3363756542218,1.625618791953017,0,0,5,0,0,5,0,0,5,1,0,4,spread,familiarity,none,200,MAD_DT_Normal,161,68,0.018298,0.058883,0.006758,0.790912,0.0,0.027412,-0.553593,-1.254959,3.199184,6.246357,2.752026,3.97548,-4.318824,-3.684457,-2.759424,-1.7008,32.649914,5,0.394247,0.899805,0.768318,197,48,0.243655,0.515514,0.524672,0.366632,0.683733,0.487019
0,7,0,28,39,reaped,11,-1.1849,6,18.0315,117,28,0.1613,0.6569,0.7628,7.5006,0.1935,0.6258,0.7751,5.3024,0.0323,-0.0311,0.0124,-2.1982,loss_familiarity,hosted,1,1,0,11,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,9,2,35,,ghost,4,-3.0739,23,38.568,443,35,0.5897,0.6948,0.807,4.5953,0.5897,0.5618,0.7266,4.3693,0.0,-0.133,-0.0805,-0.2261,loss_stability,hosted,2,2,7,12,formed,5,0.5897435897435898,0.7878787878787878,0.682627898417372,0.08946755651291648,0.5618054921736622,0.6948358877248078,0.6368170413336698,0.046285135567741935,0.7265711934947404,0.8650352616637081,0.8134184646950564,0.04717181210748075,4.369267561506292,8.82463195195652,5.985438028193039,1.6030215224810764,0,1,4,0,1,4,0,0,5,1,1,3,stability,familiarity,tie,160,MAD_DT_Normal,130,55,0.009595,0.045454,0.008256,0.492371,0.0,0.206903,-2.680367,-1.012153,1.425882,3.543935,0.989644,4.830225,-1.252893,-4.407984,-3.046702,-1.642018,34.316202,5,0.287016,0.474555,-3.073906,157,63,0.401274,0.342176,0.35891,0.258234,0.261003,0.490558
0,10,2,,,hosted,0,-0.7231,35,42.5586,1023,39,0.75,0.6663,0.8212,4.5949,0.7955,0.7197,0.8182,6.9489,0.0455,0.0534,-0.0031,2.3539,gain_familiarity,hosted,2,2,6,12,formed,5,0.75,0.9210526315789473,0.8368911789964422,0.059421017260411255,0.5968196545577562,0.751371617267243,0.683302910434832,0.05239632990263313,0.8181730772250717,0.8556870539895925,0.8271348382674981,0.014311482215889564,4.594916568855223,8.107738307665747,6.189137107458635,1.227162584340259,0,1,4,0,1,4,0,0,5,1,1,3,spread,familiarity,tie,200,both,152,75,0.017239,0.044968,0.006735,0.491214,0.275925,0.141017,-2.250429,1.310758,3.791045,4.18863,2.89468,5.172799,-2.993634,-3.50606,-2.250429,-1.411061,25.243286,4,0.473888,0.97984,-0.723104,197,42,0.213198,0.50414,0.317377,0.445359,0.729421,0.524403
0,19,3,,,hosted,0,0.8291,42,66.0652,1823,39,0.925,0.654,0.8585,11.5761,0.9545,0.6721,0.8663,11.4833,0.0295,0.0181,0.0077,-0.0928,,hosted,2,2,5,12,formed,5,0.925,1.0,0.9707808857808858,0.028564995080184605,0.5837440384817633,0.7110054009519227,0.6589117815211105,0.041908762835366334,0.8522569197440626,0.8722799472145334,0.8641958226881419,0.007741082566067608,9.705447491661776,11.57608947833742,10.895302774423085,0.7462475848184702,0,0,5,0,1,4,0,0,5,0,0,5,spread,none,stability,200,both,157,71,0.022291,0.0358,0.004321,0.442794,-0.972124,0.121393,0.685997,-1.417456,3.694819,8.400014,2.35412,1.456467,-5.482947,-2.074131,-2.703725,-1.417456,35.367998,5,0.344944,0.218873,0.829122,197,68,0.345178,0.369417,0.555483,0.31701,0.096864,0.50831
0,22,4,,,hosted,0,2.2757,31,36.4917,1019,39,0.65,0.6243,0.8098,9.1467,0.7045,0.6303,0.8083,9.3858,0.0545,0.0059,-0.0016,0.2392,,hosted,5,5,2,15,formed,5,0.65,0.8205128205128205,0.7517457980615875,0.06658546771687109,0.6132783050691839,0.6721410449505714,0.6376752007745226,0.020647781851160275,0.8082681807170622,0.8504694735316448,0.8225073612143425,0.016894532308451775,7.4179934191839365,9.385825920532623,8.507922983348129,0.7218977169773627,0,1,4,0,0,5,0,0,5,1,0,4,spread,familiarity,social,200,both,147,65,0.02249,0.045876,0.011344,0.607594,-0.72849,0.061013,-3.759806,-0.345285,5.326237,5.997296,2.157827,2.875949,-3.534623,-4.255835,-3.759806,-2.075692,33.827521,5,0.256795,0.686832,2.275723,197,57,0.28934,0.399724,0.44369,0.227985,0.450695,0.476527
0,26,4,,,hosted,0,-2.366,26,37.758,1115,39,0.65,0.6688,0.8329,7.6594,0.5909,0.6817,0.8271,9.0599,-0.0591,0.0129,-0.0057,1.4006,,hosted,2,2,5,12,formed,5,0.5909090909090909,0.7692307692307693,0.6928511839038155,0.06472876805099723,0.6584618519789573,0.6816899033179485,0.6719214624494003,0.008835385429916267,0.8107240216633018,0.8539547035548842,0.8350435414607775,0.015848133694002717,6.86652544971447,9.059947022287199,8.270384022839554,0.8632267777653037,0,0,5,0,0,5,0,0,5,1,0,4,stability,familiarity,none,200,MAD_DT_Normal,173,67,0.017835,0.022522,0.007348,0.83232,-0.770475,-0.120098,-1.487306,-1.20001,1.131193,3.130512,4.088258,4.914913,-3.560361,-1.715439,-2.933859,-1.389689,33.641408,5,0.331572,0.592089,-2.365994,197,51,0.258883,0.3612,0.301676,0.303388,0.344312,0.495423
0,41,10,,,hosted,0,-2.4158,38,316.2444,1936,39,0.875,0.698,0.8604,11.4219,0.8636,0.6731,0.8309,25.176,-0.0114,-0.0249,-0.0295,13.7542,gain_familiarity,hosted,2,2,7,12,formed,5,0.8461538461538461,0.9473684210526315,0.8807907005275426,0.03475926631154574,0.6268285084042463,0.7169128460394943,0.6769161515634537,0.030395677597097746,0.8309347581480857,0.8612020355337882,0.8503896269876359,0.011025361107212346,9.02209738683812,25.17602645460796,13.592820543394968,5.859608592400787,1,1,3,0,0,5,0,0,5,2,0,3,spread,familiarity,social,200,MAD_DT_Normal,160,57,0.019838,0.020152,0.006065,0.955748,-1.012354,-0.081338,-1.882937,-0.334375,3.29977,5.541667,2.178387,4.343278,-2.055247,-2.452703,-2.707389,-1.575446,34.166557,5,0.463746,0.328251,-2.415751,197,68,0.345178,0.419458,0.574076,0.435802,0.152634,0.515321
0,42,10,,,hosted,0,-1.429,44,40.801,1780,39,1.0,0.6661,0.8615,11.5303,1.0,0.6368,0.8393,8.5155,0.0,-0.0293,-0.0222,-3.0148,loss_familiarity,hosted,4,4,1,14,formed,5,0.8974358974358975,1.0,0.9742240215924426,0.03972382306895624,0.6367716263669726,0.7274237371826117,0.6826053118122906,0.03206047593202319,0.8333268172900371,0.8614574834533986,0.8480966263268703,0.010739571536601232,8.515475712677535,15.006278339228519,11.09762934439537,2.2222243119492404,1,0,4,1,0,4,0,0,5,2,2,1,spread,familiarity,familiarity,200,MAD_DT_Normal,156,64,0.003684,0.031463,0.003916,0.73774,0.0,0.397131,-1.256097,-0.899445,1.810056,6.352829,2.118557,3.519449,-1.726811,-4.554981,-3.276669,-1.545179,32.576722,5,0.426585,0.891128,-1.429013,197,37,0.187817,0.533853,0.553536,0.398699,0.692496,0.490683
0,44,10,,,hosted,0,-0.1043,30,41.0291,993,39,0.675,0.7427,0.8288,9.4361,0.6818,0.5897,0.8565,9.0597,0.0068,-0.153,0.0278,-0.3764,loss_stability,hosted,3,3,4,13,formed,5,0.675,0.7435897435897436,0.7006483867010183,0.02459071838632967,0.5897127791599435,0.7427046264236855,0.6675731135619806,0.05895717393467588,0.8087415727064561,0.8565318466405364,0.8332620317977801,0.015424729348501186,4.10734610296374,9.436131042914427,7.618686813919848,1.890792305084747,0,0,5,0,2,3,0,0,5,1,2,2,spread,familiarity,tie,200,MAD_DT_Normal,167,72,0.014839,0.021395,0.006352,0.687604,0.498625,0.367426,2.010503,2.048606,2.478901,2.495035,2.112492,4.144313,-4.332471,-5.846421,-1.889825,-1.413849,25.912894,4,0.348598,0.816933,-0.104309,197,67,0.340102,0.420632,0.310235,0.32049,0.557386,0.494418
0,52,11,30,,ghost,9,1.1693,21,39.2283,567,30,0.5882,0.6776,0.8477,6.46,0.6176,0.6501,0.8006,4.2685,0.0294,-0.0275,-0.0472,-2.1915,loss_familiarity,hosted,3,3,3,13,formed,5,0.5882352941176471,0.6923076923076923,0.6441541380820318,0.038094346423577764,0.6500730400830538,0.6854437548759803,0.6627754548444058,0.01551395521248911,0.7962938638559452,0.8477145431645974,0.8250136964628675,0.02233165489445318,2.168147454872247,21.365430542889655,8.595415853653488,6.748025536135293,0,0,5,0,0,5,0,0,5,1,3,1,stability,familiarity,familiarity,110,both,71,35,0.011644,0.074908,0.00786,0.634705,2.525682,-0.119066,2.11021,1.731118,2.525682,5.047502,2.11021,1.731118,-3.42223,-4.551292,-2.232592,-0.87659,19.356805,3,0.27708,0.450871,1.169343,107,45,0.420561,0.277913,0.179744,0.247908,0.181148,0.502852
0,64,18,26,37,reaped,11,1.0775,9,25.9711,129,26,0.3478,0.6129,0.752,3.4804,0.3462,0.6552,0.7835,4.6963,-0.0017,0.0423,0.0315,1.2159,,hosted,1,1,1,11,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,65,19,20,30,reaped,10,0.5416,3,34.5359,87,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,66,19,20,30,reaped,10,-1.6813,2,32.9399,92,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,67,20,26,36,reaped,10,2.7318,15,63.7867,433,26,0.5217,0.6629,0.8206,15.6365,0.5769,0.6961,0.7956,12.8947,0.0552,0.0333,-0.025,-2.7418,loss_familiarity,hosted,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,68,21,22,32,reaped,10,-0.5233,11,316.2444,336,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,69,21,22,32,reaped,10,0.3984,4,316.2444,82,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,70,21,22,32,reaped,10,-0.464,3,316.2444,104,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,71,21,23,33,reaped,10,-2.781,8,21.5721,180,23,0.1905,0.6526,0.825,16.1125,0.3636,0.6995,0.766,7.8405,0.1732,0.0469,-0.059,-8.2719,gain_social|loss_familiarity,hosted,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,72,21,22,32,reaped,10,-0.3677,4,55.581,89,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,73,21,22,32,reaped,10,1.0844,3,316.2444,127,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,74,21,24,34,reaped,10,-0.0763,6,23.1932,202,24,0.2273,0.7382,0.8329,24.7541,0.2727,0.7499,0.7766,11.4467,0.0455,0.0117,-0.0563,-13.3074,loss_familiarity,hosted,0,0,2,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,75,21,24,35,reaped,11,0.2995,8,16.0306,186,24,0.3182,0.6959,0.819,18.8122,0.3636,0.6213,0.768,7.5927,0.0455,-0.0746,-0.051,-11.2194,loss_familiarity,hosted,1,1,0,11,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,76,21,23,33,reaped,10,2.1564,4,37.2386,160,23,0.0952,0.6402,0.8201,17.963,0.1818,0.6912,0.7927,13.4956,0.0866,0.051,-0.0274,-4.4674,loss_familiarity,hosted,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,77,21,24,34,reaped,10,-1.3029,6,21.8196,125,24,0.2273,0.721,0.7912,20.3289,0.2727,0.6681,0.7537,9.8625,0.0455,-0.0529,-0.0375,-10.4664,loss_familiarity,hosted,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,78,23,24,34,reaped,10,1.4113,1,5.0029,89,,,,,,,,,,,,,,,,0,0,0,10,unformed,0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,unformed,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,unformed,0,0,unformed,unformed,unformed,unformed,unformed,unformed
0,79,24,28,,ghost,11,0.2352,4,15.939,173,28,0.0968,0.6781,0.8097,6.945,0.129,0.6762,0.7964,5.899,0.0323,-0.0019,-0.0134,-1.0459,,hosted,2,2,2,12,formed,3,0.0967741935483871,0.12903225806451613,0.11373035566583954,0.01322114752948369,0.6177210137295137,0.678131732558856,0.657366108146328,0.02804388855706384,0.7638778005906781,0.8097301836412069,0.7899909560921158,0.019254098715327836,5.899027111120163,18.89730719905774,10.580435797441606,5.896397949982798,0,0,3,0,0,3,0,0,3,0,2,1,social,none,familiarity,40,none,24,15,0.003276,0.055908,0.012465,1.154779,0.0,0.069548,-0.601611,-0.559787,10.886496,5.259927,2.456334,2.84482,-2.302393,-4.276809,-2.762775,-0.589385,12.073053,2,0.057651,0.78984,0.235207,37,17,0.459459,0.219619,0.073539,0.031946,0.337305,0.435685
